,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
1,Mike Wallace,WR,PIT,99,60,1257,1552,352,10,15.7,0.81,0.33,0.21,0.54,249.6
2,Larry Fitzgerald,WR,ARI,173,90,1137,2106,210,6,12.2,0.54,0.39,0.31,0.74,239.7
3,Jeremy Maclin,WR,PHI,115,70,964,1452,273,10,12.6,0.66,0.29,0.2,0.51,230
4,Brandon Marshall,WR,MIA,146,86,1014,1643,226,3,11.3,0.62,0.38,0.29,0.7,205.7
5,DeSean Jackson,WR,PHI,96,47,1056,1567,346,6,16.3,0.67,0.37,0.2,0.56,205
6,Pierre Garcon,WR,IND,119,68,816,1430,251,6,12,0.57,0.28,0.2,0.5,186.2
7,Danny Amendola,WR,STL,123,85,689,644,363,3,5.2,1.07,0.17,0.21,0.43,180
8,Kenny Britt,WR,TEN,73,42,775,1195,151,9,16.4,0.65,0.35,0.22,0.58,173.5
9,Michael Crabtree,WR,SF,101,55,741,999,292,6,9.9,0.74,0.25,0.2,0.48,165.1
10,Dez Bryant,WR,DAL,72,45,561,788,193,6,10.9,0.71,0.26,0.16,0.43,137.1
11,Jordy Nelson,WR,GB,64,45,582,667,250,2,10.4,0.87,0.13,0.12,0.27,115.2
12,Brandon LaFell,WR,CAR,77,38,468,793,128,1,10.3,0.59,0.25,0.18,0.44,96.8
13,Brandon Tate,WR,NE,46,24,432,601,151,3,13.1,0.72,0.15,0.09,0.24,91.4
14,Arrelious Benn,WR,TB,38,25,395,460,170,2,12.1,0.86,0.12,0.09,0.21,80
15,Emmanuel Sanders,WR,PIT,50,28,376,631,71,2,12.6,0.6,0.15,0.12,0.28,77.6
16,Darrius Heyward-Bey,WR,OAK,65,26,366,940,106,1,14.5,0.39,0.25,0.15,0.4,73.4
17,Andre Roberts,WR,ARI,49,24,307,428,138,2,8.7,0.72,0.09,0.1,0.22,66.7
18,Demaryius Thomas,WR,DEN,39,22,283,355,139,2,9.1,0.8,0.1,0.1,0.22,62.4
19,Harry Douglas,WR,ATL,53,22,294,652,124,1,12.3,0.45,0.15,0.1,0.25,56.9
20,Golden Tate,WR,SEA,39,21,227,393,109,0,10.1,0.58,0.12,0.1,0.24,44.1
21,Ted Ginn,WR,SF,35,12,163,526,38,1,15,0.31,0.16,0.09,0.24,35.4
22,Antonio Brown,WR,PIT,20,16,167,116,113,0,5.8,1.44,0.05,0.08,0.15,32.7
23,Eric Decker,WR,DEN,8,6,106,120,24,1,15,0.88,0.04,0.02,0.06,22.6
24,Julian Edelman,WR,NE,14,7,86,46,99,0,3.3,1.87,0.01,0.03,0.06,17
25,Eric Weems,WR,ATL,6,6,61,39,22,0,6.5,1.56,0.01,0.01,0.02,12.1
26,Matthew Slater,WR,NE,1,0,0,51,0,0,51,0,0.02,0,0.02,0
