,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
49,Donte Moncrief,WR,JAC,90,47,649,1104,252,3,12.3,0.59,0.31,0.17,0.47,129.9
50,Antonio Callaway,WR,CLE,79,41,571,1100,233,5,13.9,0.52,0.2,0.14,0.35,128.8
51,Cooper Kupp,WR,LA,54,38,530,438,299,6,8.1,1.21,0.2,0.2,0.44,128.3
52,Kenny Stills,WR,MIA,64,37,553,1046,127,6,16.3,0.53,0.31,0.15,0.45,128.3
53,Christian Kirk,WR,ARI,68,43,590,653,226,3,9.6,0.9,0.24,0.19,0.46,123.5
54,Rashard Higgins,WR,CLE,55,40,579,593,158,4,10.8,0.98,0.13,0.12,0.27,121.9
55,Devin Funchess,WR,CAR,78,43,547,1049,76,4,13.4,0.52,0.27,0.16,0.42,121.7
56,Danny Amendola,WR,MIA,76,57,565,597,224,1,7.9,0.95,0.17,0.18,0.39,119.3
57,Anthony Miller,WR,CHI,53,32,408,622,141,7,11.7,0.66,0.14,0.11,0.27,117.4
58,Golden Tate,WR,DET,69,44,508,450,272,3,6.5,1.13,0.22,0.27,0.56,117
59,Marvin Jones,WR,DET,62,35,508,906,101,5,14.6,0.56,0.36,0.19,0.53,115.8
60,Sammy Watkins,WR,KC,55,40,519,526,225,3,9.6,0.99,0.16,0.15,0.34,115.1
61,Marquez Valdes-Scantling,WR,GB,72,38,581,888,210,2,12.3,0.65,0.16,0.11,0.28,111
62,Chester Rogers,WR,IND,71,51,474,445,261,2,6.3,1.07,0.09,0.11,0.23,109
63,Kendrick Bourne,WR,SF,64,39,447,541,133,4,8.5,0.83,0.15,0.12,0.29,107.7
64,Will Fuller,WR,HOU,45,32,503,623,166,4,13.8,0.81,0.29,0.2,0.5,106.3
65,Seth Roberts,WR,OAK,65,44,489,572,206,2,8.8,0.85,0.16,0.13,0.3,105.4
66,Dante Pettis,WR,SF,45,27,467,514,205,5,11.4,0.91,0.19,0.12,0.32,103.5
67,Josh Doctson,WR,WAS,77,42,477,1103,110,2,14.3,0.43,0.29,0.17,0.46,101.7
68,Chris Hogan,WR,NE,51,33,506,647,171,3,12.7,0.78,0.14,0.09,0.24,101.6
69,Josh Reynolds,WR,LA,53,29,402,657,129,5,12.4,0.61,0.19,0.14,0.34,100
70,David Moore,WR,SEA,52,25,440,907,82,5,17.4,0.49,0.29,0.15,0.43,99.5
71,Jarius Wright,WR,CAR,59,43,447,379,198,1,6.4,1.18,0.09,0.11,0.22,97.6
72,Michael Gallup,WR,DAL,69,33,507,957,173,2,13.9,0.53,0.25,0.14,0.39,95.7
73,Chris Conley,WR,KC,51,31,325,440,139,5,8.6,0.74,0.09,0.1,0.21,93.5
74,Keelan Cole,WR,JAC,67,38,491,662,136,1,9.9,0.74,0.21,0.15,0.37,93.1
75,Demaryius Thomas,WR,DEN,54,35,396,587,129,3,10.9,0.67,0.25,0.19,0.46,92.6
76,Albert Wilson,WR,MIA,37,27,394,273,334,4,7.4,1.44,0.16,0.18,0.38,92
77,Cordarrelle Patterson,WR,NE,30,23,221,186,145,3,6.2,1.19,0.04,0.06,0.11,90.9
78,Taywan Taylor,WR,TEN,56,37,466,757,161,1,13.5,0.62,0.27,0.16,0.43,89.6
79,Robert Foster,WR,BUF,41,23,480,940,163,3,22.9,0.51,0.24,0.13,0.37,89
80,Randall Cobb,WR,GB,61,38,384,508,233,2,8.3,0.76,0.16,0.17,0.37,88.4
81,John Ross,WR,CIN,58,21,210,804,77,7,13.9,0.26,0.24,0.14,0.37,84.9
82,Quincy Enunwa,WR,NYJ,67,37,407,456,248,1,6.8,0.89,0.16,0.19,0.41,83.7
83,Jamison Crowder,WR,WAS,50,29,388,454,211,2,9.1,0.85,0.22,0.19,0.44,82.8
84,Marquise Goodwin,WR,SF,41,21,362,547,123,4,13.3,0.66,0.21,0.12,0.33,82.1
85,Phillip Dorsett,WR,NE,41,32,290,417,100,3,10.2,0.7,0.13,0.11,0.25,81.9
86,Tre'Quan Smith,WR,NO,42,26,350,496,78,3,11.8,0.71,0.16,0.1,0.27,79
87,Jermaine Kearse,WR,NYJ,75,36,368,738,135,1,9.8,0.5,0.19,0.17,0.39,78.8
88,Ryan Grant,WR,IND,51,35,334,409,93,1,8,0.82,0.09,0.09,0.2,74.4
89,Tajae Sharpe,WR,TEN,47,27,336,525,91,2,11.2,0.64,0.17,0.12,0.3,74.2
90,Ryan Switzer,WR,PIT,43,36,253,147,137,1,3.4,1.72,0.03,0.06,0.11,69.4
91,Tim Patrick,WR,DEN,42,24,319,447,112,2,10.6,0.71,0.13,0.09,0.23,68.5
92,Dontrelle Inman,WR,IND,37,26,292,372,71,2,10.1,0.78,0.17,0.13,0.31,67.2
93,Zach Pascal,WR,IND,44,26,272,470,71,2,10.7,0.58,0.11,0.08,0.19,66.2
94,DaeSean Hamilton,WR,DEN,44,29,225,374,62,2,8.5,0.6,0.12,0.11,0.25,63.5
95,Keke Coutee,WR,HOU,41,28,287,208,210,1,5.1,1.38,0.15,0.22,0.44,62.7
96,Demaryius Thomas,WR,HOU,33,23,275,323,145,2,9.8,0.85,0.2,0.16,0.38,62.5
97,Geronimo Allison,WR,GB,30,20,303,388,106,2,12.9,0.78,0.24,0.16,0.4,62.3
98,Breshad Perriman,WR,CLE,25,16,340,493,75,2,19.7,0.69,0.15,0.08,0.22,62.2
99,Allen Hurns,WR,DAL,36,20,295,452,78,2,12.6,0.65,0.13,0.08,0.21,61.5
100,DeVante Parker,WR,MIA,47,24,309,595,122,1,12.7,0.52,0.23,0.15,0.39,60.9
101,Jaron Brown,WR,SEA,20,14,166,271,46,5,13.6,0.61,0.1,0.07,0.17,60.6
102,Golden Tate,WR,PHI,42,28,270,332,142,1,7.9,0.81,0.17,0.15,0.34,60.2
103,Paul Richardson,WR,WAS,34,20,262,431,47,2,12.7,0.61,0.24,0.14,0.38,59.1
104,Jakeem Grant,WR,MIA,33,20,260,271,140,2,8.2,0.96,0.11,0.11,0.24,58
105,Demarcus Robinson,WR,KC,31,20,198,346,66,3,11.2,0.57,0.08,0.07,0.16,57.8
106,Amari Cooper,WR,OAK,32,22,280,337,97,1,10.5,0.83,0.24,0.14,0.37,56.9
107,Trent Taylor,WR,SF,40,26,215,254,102,1,6.3,0.85,0.08,0.09,0.19,53.5
108,Tavon Austin,WR,DAL,14,9,204,246,63,3,17.6,0.83,0.14,0.07,0.19,51.8
109,Ted Ginn,WR,NO,28,16,207,464,43,2,16.6,0.45,0.31,0.14,0.42,51.3
110,Isaiah McKenzie,WR,BUF,27,15,170,290,64,0,10.7,0.59,0.11,0.14,0.29,50.4
111,Equanimeous St. Brown,WR,GB,34,19,290,480,107,0,14.1,0.6,0.12,0.08,0.21,48.5
112,Chris Moore,WR,BAL,26,19,196,310,65,1,11.9,0.63,0.07,0.05,0.12,46.3
113,Keith Kirkwood,WR,NO,21,13,209,281,49,2,13.4,0.74,0.17,0.1,0.27,45.9
114,James Washington,WR,PIT,38,16,217,629,64,1,16.6,0.34,0.15,0.07,0.21,43.7
115,Bennie Fowler,WR,NYG,27,16,199,261,76,1,9.7,0.76,0.09,0.08,0.18,41.9
116,Russell Shepard,WR,NYG,19,10,188,323,12,2,17,0.58,0.13,0.07,0.19,40.8
117,DeAndre Carter,WR,HOU,23,20,195,79,136,0,3.4,2.47,0.05,0.11,0.19,40.2
118,Travis Benjamin,WR,LAC,23,11,185,526,60,1,22.9,0.35,0.17,0.06,0.2,39.6
119,Justin Hardy,WR,ATL,22,14,133,157,65,2,7.1,0.85,0.03,0.04,0.07,39.3
120,Trent Sherfield,WR,ARI,25,16,171,287,27,1,11.5,0.6,0.13,0.1,0.25,39.1
121,Cody Latimer,WR,NYG,16,11,190,318,23,1,19.9,0.6,0.2,0.07,0.25,36
122,Alex Erickson,WR,CIN,27,18,154,292,78,0,10.8,0.53,0.07,0.05,0.12,35.6
123,Cody Core,WR,CIN,27,13,160,329,36,1,12.2,0.49,0.12,0.09,0.21,35
124,Austin Carr,WR,NO,15,10,107,141,22,2,9.4,0.76,0.07,0.05,0.13,32.7
125,Josh Bellamy,WR,CHI,26,14,117,294,46,1,11.3,0.4,0.08,0.06,0.15,31.7
126,D.J. Chark,WR,JAC,32,14,174,283,45,0,8.8,0.61,0.11,0.08,0.19,31.4
127,Richie James,WR,SF,14,9,130,76,101,1,5.4,1.71,0.03,0.04,0.07,28
128,Damion Ratley,WR,CLE,20,13,144,201,51,0,10.1,0.72,0.11,0.1,0.23,27.4
129,Cameron Meredith,WR,NO,10,9,114,92,38,1,9.2,1.24,0.14,0.09,0.24,26.4
130,Andre Roberts,WR,NYJ,17,10,79,150,17,1,8.8,0.53,0.03,0.03,0.07,25.9
131,Jake Kumerow,WR,GB,11,8,103,111,23,1,10.1,0.93,0.06,0.05,0.12,24.3
132,Trey Quinn,WR,WAS,10,9,75,73,17,1,7.3,1.03,0.09,0.1,0.2,22.5
133,Marcus Johnson,WR,IND,8,6,102,110,28,1,13.8,0.93,0.07,0.04,0.11,22
134,Darius Jennings,WR,TEN,15,11,101,163,37,0,10.9,0.62,0.05,0.04,0.1,21.3
135,Cameron Batson,WR,TEN,10,7,72,75,42,0,7.5,0.96,0.04,0.05,0.1,14.3
136,J.J. Nelson,WR,ARI,19,7,64,358,24,0,18.8,0.18,0.16,0.07,0.21,13.4
137,Corey Coleman,WR,NYG,8,5,71,100,8,0,12.5,0.71,0.04,0.03,0.08,12.6
138,De'Anthony Thomas,WR,KC,5,3,29,71,27,1,14.2,0.41,0.05,0.04,0.09,12.5
139,Dwayne Harris,WR,OAK,6,6,40,-7,47,0,-1.2,-5.71,0,0.01,0.02,11.2
140,Russell Gage,WR,ATL,9,5,56,105,12,0,11.7,0.53,0.04,0.03,0.07,10.6
141,Noah Brown,WR,DAL,8,5,54,75,20,0,9.4,0.72,0.05,0.03,0.08,10.4
142,Ray-Ray McCloud,WR,BUF,6,5,36,13,28,0,2.2,2.77,0.01,0.02,0.04,9
143,Josh Gordon,WR,CLE,3,1,17,129,17,1,43,0.13,0.29,0.08,0.32,8.7
144,Chad Beebe,WR,MIN,4,4,39,51,12,0,12.8,0.76,0.06,0.04,0.11,7.9
145,Auden Tate,WR,CIN,12,4,35,136,7,0,11.3,0.26,0.11,0.09,0.22,7.5
146,Bobo Wilson,WR,TB,4,3,44,53,13,0,13.2,0.83,0.03,0.02,0.06,7.4
147,Javon Wims,WR,CHI,5,4,32,34,2,0,6.8,0.94,0.07,0.1,0.19,7.2
148,KhaDarel Hodge,WR,LA,4,3,24,24,0,0,6,1,0.01,0.02,0.04,5.4
149,DeAndre Carter,WR,PHI,2,2,21,7,14,0,3.5,3,0,0.01,0.02,4.1
150,Malik Turner,WR,SEA,3,2,20,11,14,0,3.7,1.82,0.02,0.06,0.11,4
151,Nick Williams,WR,LA,3,2,17,18,5,0,6,0.94,0.03,0.05,0.09,3.7
152,Brandon Zylstra,WR,MIN,2,1,23,43,8,0,21.5,0.53,0.03,0.01,0.04,3.3
153,Gehrig Dieter,WR,KC,3,1,22,54,13,0,18,0.41,0.09,0.05,0.13,3.2
154,Damiere Byrd,WR,CAR,2,1,8,25,1,0,12.5,0.32,0.02,0.01,0.02,1.8
155,Allen Lazard,WR,GB,1,1,7,7,0,0,7,1,0.02,0.02,0.05,1.7
156,Marcus Kemp,WR,KC,2,1,7,4,8,0,2,1.75,0,0.01,0.02,1.7
157,Justin Watson,WR,TB,3,1,5,15,0,0,5,0.33,0.01,0.01,0.02,1.5
158,Chris Lacy,WR,DET,1,0,0,9,0,0,9,0,0.04,0.03,0.08,0
159,Geremy Davis,WR,LAC,1,0,0,0,0,0,0,NA,0,0.01,0.01,0
160,Isaiah McKenzie,WR,DEN,0,0,0,0,0,0,NA,NA,0,0,0,0
161,JoJo Natson,WR,LA,0,0,0,0,0,0,NA,NA,0,0,0,0
162,Lance Lenoir,WR,DAL,0,0,0,0,0,0,NA,NA,0,0,0,0
163,Matthew Slater,WR,NE,0,0,0,0,0,0,NA,NA,0,0,0,0
164,Nick Williams,WR,TEN,1,0,0,27,0,0,27,0,0.05,0.01,0.05,0
165,Pharoh Cooper,WR,ARI,0,0,0,0,0,0,NA,NA,0,0,0,0
166,Pharoh Cooper,WR,LA,1,0,0,6,0,0,6,0,0,0,0.01,0
167,Trevor Davis,WR,GB,0,0,0,0,0,0,NA,NA,0,0,0,0
