,full_name,Year,2019_PPR_Points,Tgt,Rec,Yds,AY,YAC,TD,aDOT,RACR,MS_AY,TGT_Share,WOPR,UAY,Catch_Rate,Yds/TGT,YPR,AY/Tgt,AY/Rec,UAY/Tgt,UAY/Rec,YAC/Tgt,YAC/Rec,2019_PPR_Rank,2020_Model_Ranks,Rank_Differential
842,D.J. Moore,2019,232.5,135,87,1175,1499,384,4,11.1,0.78,0.31,0.23,0.56,708,64.44,8.7,13.51,11.1,17.23,5.24,8.14,2.84,4.41,15.0,30.0,-15.0
299,Mike Evans,2019,230.7,118,67,1157,1809,256,8,15.33,0.64,0.35,0.23,0.59,908,56.78,9.81,17.27,15.33,27.0,7.69,13.55,2.17,3.82,16.0,31.0,-15.0
865,Cooper Kupp,2019,270.5,134,94,1161,1007,538,10,7.51,1.15,0.21,0.21,0.46,384,70.15,8.66,12.35,7.51,10.71,2.87,4.09,4.01,5.72,4.0,32.0,-28.0
418,Kenny Golladay,2019,250.0,116,65,1190,1756,304,11,15.14,0.68,0.32,0.2,0.53,870,56.03,10.26,18.31,15.14,27.02,7.5,13.38,2.62,4.68,9.0,33.0,-24.0
132,Sterling Shepard,2019,139.8,83,57,576,822,179,3,9.9,0.7,0.26,0.22,0.51,425,68.67,6.94,10.11,9.9,14.42,5.12,7.46,2.16,3.14,40.0,34.0,6.0
388,Larry Fitzgerald,2019,179.4,109,75,804,856,343,4,7.85,0.94,0.21,0.2,0.44,395,68.81,7.38,10.72,7.85,11.41,3.62,5.27,3.15,4.57,30.0,35.0,-5.0
1045,Alshon Jeffery,2019,122.2,73,43,490,808,111,4,11.07,0.61,0.3,0.23,0.55,429,58.9,6.71,11.4,11.07,18.79,5.88,9.98,1.52,2.58,49.0,36.0,13.0
284,Mike Williams,2019,161.3,90,49,1001,1626,187,2,18.07,0.62,0.34,0.16,0.47,812,54.44,11.12,20.43,18.07,33.18,9.02,16.57,2.08,3.82,33.0,37.0,-4.0
846,Curtis Samuel,2019,171.7,105,54,627,1608,153,6,15.31,0.39,0.3,0.17,0.46,1134,51.43,5.97,11.61,15.31,29.78,10.8,21.0,1.46,2.83,31.0,38.0,-7.0
310,Michael Gallup,2019,212.7,113,66,1107,1376,333,6,12.18,0.8,0.28,0.21,0.51,602,58.41,9.8,16.77,12.18,20.85,5.33,9.12,2.95,5.05,22.5,39.0,-16.5
999,Auden Tate,2019,103.5,80,40,575,920,120,1,11.5,0.62,0.28,0.18,0.46,465,50.0,7.19,14.38,11.5,23.0,5.81,11.62,1.5,3.0,56.0,40.0,16.0
983,Brandin Cooks,2019,117.5,72,42,583,1004,169,2,13.94,0.58,0.23,0.13,0.35,590,58.33,8.1,13.88,13.94,23.9,8.19,14.05,2.35,4.02,51.0,41.0,10.0
136,Stefon Diggs,2019,218.1,94,63,1130,1424,302,6,15.15,0.79,0.41,0.21,0.6,596,67.02,12.02,17.94,15.15,22.6,6.34,9.46,3.21,4.79,20.0,42.0,-22.0
868,Cole Beasley,2019,180.8,106,67,778,844,330,6,7.96,0.92,0.19,0.22,0.47,396,63.21,7.34,11.61,7.96,12.6,3.74,5.91,3.11,4.93,29.0,43.0,-14.0
1018,Anthony Miller,2019,129.5,85,52,656,887,217,2,10.44,0.74,0.2,0.15,0.36,448,61.18,7.72,12.62,10.44,17.06,5.27,8.62,2.55,4.17,47.0,44.0,3.0
210,Randall Cobb,2019,156.9,83,55,828,865,329,3,10.42,0.96,0.16,0.15,0.34,366,66.27,9.98,15.05,10.42,15.73,4.41,6.65,3.96,5.98,35.0,45.0,-10.0
4,Zach Pascal,2019,133.3,72,41,607,800,235,5,11.11,0.76,0.19,0.14,0.35,428,56.94,8.43,14.8,11.11,19.51,5.94,10.44,3.26,5.73,46.0,46.0,0.0
822,Danny Amendola,2019,135.8,97,62,678,897,207,1,9.25,0.76,0.17,0.18,0.39,426,63.92,6.99,10.94,9.25,14.47,4.39,6.87,2.13,3.34,43.0,47.0,-4.0
766,Dede Westbrook,2019,152.7,101,66,660,666,317,3,6.59,0.99,0.17,0.19,0.4,323,65.35,6.53,10.0,6.59,10.09,3.2,4.89,3.14,4.8,38.0,48.0,-10.0
1067,Alex Erickson,2019,99.2,78,43,529,656,264,0,8.41,0.81,0.14,0.13,0.29,391,55.13,6.78,12.3,8.41,15.26,5.01,9.09,3.38,6.14,61.0,49.0,12.0
176,Russell Gage,2019,100.8,74,49,446,525,151,1,7.09,0.85,0.11,0.12,0.26,230,66.22,6.03,9.1,7.09,10.71,3.11,4.69,2.04,3.08,59.5,50.0,9.5
